category,rank,label,project_count
Neighborhood,1,Broadway East,434
Neighborhood,2,McElderry Park,377
Neighborhood,3,Belair-Edison,368
Neighborhood,4,Coldstream Homestead Montebello,362
Neighborhood,5,Oliver,328
Council District,1,District 13,2119
Council District,2,District 9,1807
Council District,3,District 12,1446
Housing Market Typology,1,I,3345
Housing Market Typology,2,H,2200
Housing Market Typology,3,F,1686
Use Transition,1,1-08 to 1-08,5529
Use Transition,2,SF to SF,1479
Use Transition,3,VAC to SF,977
